avearge_WindSpeed_prediction,avearge_WindDirectionCos_prediction,avearge_WindDirectionSin_prediction,da_AirTemperature_prediction,da_AirHumidity_prediction,da_AirPressure_prediction,real_WindPower
0.341435768,0.007596123,0.400193458,0.348837209,0.142857143,0.666666667,0.0231616
0.316876574,0.009186409,0.391418668,0.348837209,0.214285714,0.666666667,0.047009501
0.292821159,0.0109262,0.382673598,0.325581395,0.285714286,0.666666667,0.0521665
0.268261965,0.014852137,0.365283261,0.325581395,0.357142857,0.666666667,0.04233675
0.260075567,0.014852137,0.365283261,0.325581395,0.428571429,0.666666667,0.031961501
0.260075567,0.014852137,0.365283261,0.302325581,0.5,0.666666667,0.02464
0.243828715,0.012814967,0.373960911,0.302325581,0.571428571,0.666666667,0.028494501
0.235768262,0.014852137,0.365283261,0.279069767,0.642857143,0.666666667,0.0338535
0.227707809,0.014852137,0.365283261,0.279069767,0.714285714,0.666666667,0.044686499
0.211335013,0.017037087,0.356643292,0.279069767,0.714285714,0.666666667,0.0353585
0.203274559,0.014852137,0.365283261,0.279069767,0.714285714,0.666666667,0.045672002
0.186901763,0.014852137,0.365283261,0.279069767,0.714285714,0.666666667,0.065304751
0.170654912,0.017037087,0.356643292,0.279069767,0.714285714,0.666666667,0.061573501
0.162594458,0.019369152,0.348043635,0.279069767,0.714285714,0.666666667,0.034742501
0.146221662,0.017037087,0.356643292,0.279069767,0.714285714,0.666666667,0.0133496
0.138161209,0.017037087,0.356643292,0.279069767,0.714285714,0.666666667,0.0025344
0.121788413,0.019369152,0.348043635,0.279069767,0.714285714,0.666666667,0
0.11372796,0.017037087,0.356643292,0.279069767,0.714285714,0.666666667,0
0.097481108,0.019369152,0.348043635,0.279069767,0.785714286,0.666666667,0
0.089546599,0.017037087,0.356643292,0.279069767,0.785714286,0.666666667,0
0.081234257,0.012814967,0.373960911,0.279069767,0.785714286,0.666666667,0.016051199
0.06511335,0.00615583,0.408995295,0.279069767,0.785714286,0.666666667,0.028705499
